GID_LAT	GID_LON	mean_1870-1999	mean_1995-1999	mean_2015-2030	0	-nan	0	-nan
-88.92773	-157.5	228.714	229.466	230.763	0.752	0.328795	2.049	0.895879
-88.92773	-156.09375	228.749	229.499	230.794	0.75	0.32787	2.045	0.893993
-88.92773	-154.6875	228.781	229.536	230.826	0.755	0.33001	2.045	0.893868
-88.92773	-153.28125	228.812	229.564	230.862	0.752	0.328654	2.05	0.895932
-88.92773	-151.875	228.841	229.594	230.891	0.753	0.329049	2.05	0.895818
-88.92773	-150.46875	228.865	229.627	230.92	0.762	0.332947	2.055	0.897909
-88.92773	-149.0625	228.891	229.653	230.942	0.762	0.33291	2.051	0.89606
-88.92773	-147.65625	228.915	229.671	230.964	0.756	0.330254	2.049	0.895092
-88.92773	-146.25	228.938	229.693	230.981	0.755	0.329784	2.043	0.892381
-88.92773	-144.84375	228.956	229.715	231.003	0.759	0.331505	2.047	0.894058
-88.92773	-143.4375	228.974	229.736	231.023	0.762	0.332789	2.049	0.894861
-88.92773	-142.03125	228.993	229.757	231.042	0.764	0.333635	2.049	0.894787
-88.92773	-140.625	229.007	229.776	231.054	0.769	0.335798	2.047	0.893859
-88.92773	-139.21875	229.023	229.793	231.064	0.77	0.336211	2.041	0.891177
-88.92773	-137.8125	229.034	229.8	231.082	0.766	0.334448	2.048	0.89419
-88.92773	-136.40625	229.051	229.814	231.096	0.763	0.333114	2.045	0.892814
-88.92773	-135	229.058	229.821	231.109	0.763	0.333103	2.051	0.895406
-88.92773	-133.59375	229.063	229.831	231.116	0.768	0.335279	2.053	0.89626
-88.92773	-132.1875	229.067	229.834	231.118	0.767	0.334837	2.051	0.895371
-88.92773	-130.78125	229.074	229.841	231.125	0.767	0.334826	2.051	0.895344
-88.92773	-129.375	229.08	229.852	231.133	0.772	0.337	2.053	0.896193
-88.92773	-127.96875	229.083	229.86	231.14	0.777	0.339178	2.057	0.897928
-88.92773	-126.5625	229.085	229.863	231.144	0.778	0.339612	2.059	0.898793
-88.92773	-125.15625	229.087	229.864	231.141	0.777	0.339172	2.054	0.896603
-88.92773	-123.75	229.086	229.865	231.144	0.779	0.340047	2.058	0.898353
-88.92773	-122.34375	229.084	229.863	231.139	0.779	0.34005	2.055	0.897051
-88.92773	-120.9375	229.08	229.86	231.136	0.78	0.340492	2.056	0.897503
-88.92773	-119.53125	229.078	229.859	231.143	0.781	0.340932	2.065	0.90144
