GID_LAT,GID_LON,mean_1870-1999,mean_1995-1999,mean_2015-2030,abs_diff_1995-1999_1870-1999,prct_abs_diff_1995-1999_1870-1999,abs_diff_2015-2030_1870-1999,prct_abs_diff_2015-2030_1870-1999
-88.92773,151.875,5.48064,5.67162,6.29449,0.19098,3.48463,0.81385,14.8495
-88.92773,153.28125,5.51982,5.70918,6.32976,0.18936,3.43055,0.80994,14.6733
-88.92773,154.6875,5.55722,5.74799,6.36434,0.19077,3.43283,0.80712,14.5238
-88.92773,156.09375,5.5943,5.7832,6.40173,0.1889,3.37665,0.80743,14.4331
-88.92773,157.5,5.63469,5.81421,6.44193,0.17952,3.18598,0.80724,14.3263
-88.92773,158.90625,5.67195,5.8562,6.47938,0.18425,3.24844,0.80743,14.2355
-88.92773,160.3125,5.71005,5.87549,6.51833,0.16544,2.89735,0.80828,14.1554
-88.92773,161.71875,5.7483,5.91095,6.55085,0.16265,2.82953,0.80255,13.9615
-88.92773,163.125,5.78842,5.93176,6.58203,0.14334,2.47632,0.79361,13.7103
-88.92773,164.53125,5.82772,5.95801,6.61568,0.13029,2.23569,0.78796,13.5209
-88.92773,165.9375,5.86824,6.00714,6.65675,0.1389,2.36698,0.78851,13.4369
-88.92773,167.34375,5.90969,6.04922,6.69416,0.13953,2.36104,0.78447,13.2743
-88.92773,168.75,5.95337,6.09311,6.73815,0.13974,2.34724,0.78478,13.1821
-88.92773,170.15625,5.99247,6.13523,6.77698,0.14276,2.38232,0.78451,13.0916
-88.92773,171.5625,6.0336,6.17305,6.82178,0.13945,2.31122,0.78818,13.0632
-88.92773,172.96875,6.0756,6.21408,6.86406,0.13848,2.27928,0.78846,12.9775
-88.92773,174.375,6.11231,6.24537,6.90129,0.13306,2.17692,0.78898,12.908
-88.92773,175.78125,6.15315,6.28503,6.93697,0.13188,2.14329,0.78382,12.7385
-88.92773,177.1875,6.19405,6.31757,6.97035,0.12352,1.99417,0.7763,12.533
-88.92773,178.59375,6.23318,6.35432,7.00698,0.12114,1.94347,0.7738,12.4142
-88.92773,180,6.27173,6.39228,7.04372,0.12055,1.92212,0.77199,12.309
