GRUMP_GID	GEONAMEIDS	ASCIINAMES	GEONAME_POP	GRUMP_POP	sum_aid	mean_ppt_prct_abs_diff_1995-1999_1870-1999	mean_ppt_prct_abs_diff_2015-2030_1870-1999	mean_ts_prct_abs_diff_1995-1999_1870-1999	mean_ts_prct_abs_diff_2015-2030_1870-1999
50107	2464701	Tataouine	62577	56398	8949400.55126636	18.1863	19.1605	0.30983	0.710084
41055	318137	Hakkari	77699	58117	12024.6040649414	5.05329000000012	6.70429000000016	0.40240000000001	0.75673600000002
20439	467120	Yershov	23681	27039	6553.80233764648	3.15553000000004	4.20871000000005	0.370976	0.82356000000001
13769	464112|523161|548605	Kineshma|Navoloki|Zavolzhsk	116781	85574	12141.5878562927	5.36153161073832	5.38729534675619	0.35735955928412	0.87420592617451
68966	1264540	Madikeri	33540	31977	106998.839111318	0.72649199999994	0.14315899999999	0.17096099999999	0.37136299999997
60262	1260777	Palanpur	123294	107575	113537.752075194	10.6772149999996	13.6529230769226	0.15379448717948	0.41727693589742
66276	1258756|1263898	Mandapeta|Ramachandrapuram	91829	201146	915073.670654279	1.74390999999997	2.97865999999994	0.165239	0.33984399999999
64796	3532592	Atlixco	85891	88723	422819.416259766	7.846	8.12857	0.268095	0.483669
23232	723195|724627	"Humenne|Vranov nad Topl'ou"	58613	75919	0	2.87641501930498	0.54109766795366	0.3082138996139	0.70235087644787
54554	1255023	Tanda	44822	62684	371110.974609371	4.73808999999975	2.25105999999988	0.15724899999999	0.38835699999998
14588	454432|457954	Liepaja|Vec-Liepaja	170392	95045	282587.092163086	3.54630999999999	5.68106	0.266069	0.665351
20844	704901	Korosten'	65000	68166	125867.272583008	0.253844	0.422168	0.325778	0.727643
73249	3667887	Socorro	17752	28832	55812.6764869681	0.835278	2.14312	0.261496	0.594004
51588	1180454|1182815	"Bhakkar|Darya Khan"	96998	130468	675400.08789061	6.26679129533665	12.2496906735748	0.22948322279792	0.41445938341968
66316	1261960	Nandigama	38219	38329	69758.5400390553	0.28995099999997	1.66022999999984	0.13766599999999	0.28799799999997
33015	5597034|5610810	"Jerome|Twin Falls"	55015	77980	0	0.79813934316548	0.72196623165465	0.46597406258993	0.95299972158273
78981	1648266	Bondowoso	69783	140593	321209.570312477	2.04664999999986	0.57328499999996	0.16261199999999	0.38707699999997
58018	2214603	Murzuq	43732	49627	0	8.55374999999994	5.90784999999995	0.35694	0.67418199999999
36817	3129857	Aranjuez	54055	18072	0	0.673882	9.03597999999999	0.28321	0.745216
34907	2037913	Linghai	56176	178989	327392.636802658	1.82075999999992	10.6465999999996	0.25791899999999	0.65446999999997
27373	3033685	Bellegarde-sur-Valserine	11699	14530	0	2.82898	5.67917	0.249863	0.754565
65322	3526798	"Iguala de la Independencia"	112106	107323	489863.792999249	4.91435999999995	10.7100999999999	0.25233	0.50294399999999
31064	2036536	Minzhu	123018	208135	53036.4826583852	7.19365000000002	7.81183	0.329046	0.79562
72292	3795152	"La Fria"	27077	28395	0	5.20873000000001	8.66964	0.220889	0.540288
12839	588335	Tartu	101092	112957	0	4.91554999999999	4.12025000000001	0.327613	0.840993
13825	557469	Igra	22033	26321	18801.8357772827	4.71482060240965	6.25804373493972	0.37641050602409	0.90747110843373
72798	2383523	Paoua	18441	14366	13998.5483093262	2.64809	3.95529	0.163105	0.373098
73725	2285449	Lakota	38055	22100	21790.5484619141	1.09041	0.64025	0.106063	0.303468
39854	4232679|4233813|4234969|4236191|4237579|4237717|4238132|4239465|4239509|4239714|4245926|4249910|4251003|4251841|4253387|4374513|4375087|4375663|4376444|4378391|4381072|4381478|4382072|4382833|4382837|4383306|4385835|4386387|4386419|4386802|4389967|439244	"Affton|Alton|Arnold|Ballwin|Bellefontaine Neighbors|Belleville|Bridgeton|Cahokia|Chesterfield|Clayton|Collinsville|Concord|Crestwood|Creve Coeur|Dardenne Prairie|East Saint Louis|Edwardsville|Eureka|Fairview Heights|Ferguson|Festus|Florissant|Glen Carbon"	1579651	2354434	0	3.86176850751278	6.86720117529238	0.27239628614356	0.68846533455765
16964	2897132	Husum	20841	21041	0	2.36845966292135	2.01211595505618	0.22254751685393	0.56990485393259
69093	2353197	Zorgo	23892	19045	47355.9960937499	2.44281999999999	4.55381999999999	0.210697	0.429445
58764	1263917|1275960	Bhilwara|Mandal	349909	270306	1240644.26629636	8.25252999999978	11.0675999999997	0.16757	0.40155999999999
9653	633221	Uusikaupunki	16226	10216	0	3.76110999999999	4.82566	0.30389	0.813248
20363	2955471	Arnsberg	76612	67102	0	2.01792000000001	0.963206	0.216136	0.67258
81836	1053384	Toamasina	206373	49729	7207992.23950146	2.09760000000008	0.0126906	0.20194800000001	0.45016100000002
45561	4551177	Shawnee	29857	41005	0	0.485639	0.257223	0.301161	0.68580600000001
67832	1260014	Pavagada	32063	27065	6826916.76684493	1.09622999999992	2.6002799999998	0.15487399999999	0.35204699999997
31125	610612	Aktau	147443	130076	24266.4396362311	0.126579	4.00986000000009	0.25236900000001	0.50018700000001
78797	1630366	Purbalingga	56903	113328	217628.072509766	2.74488	3.84352	0.170777	0.387583
25315	681845	"Campulung Moldovenesc"	19765	18627	358646.473999023	0.198986	4.62811	0.347964	0.717233
63322	3985620|3985621	"San Luis de la Paz"	97235	55051	247666.311058044	6.61454487804879	4.84940975609755	0.290473	0.49662241463415
47299	128831	Kangavar	53414	53483	0	7.06314999999999	3.34576	0.368211	0.725613
79507	217834	Bukama	38770	30035	4498984.92170323	3.63183000000003	5.59146000000005	0.19272	0.409067
82219	3461499	Igarapava	29057	22330	280392.56412506	0.83233700000001	1.66549000000003	0.220206	0.46743000000001
51739	283806|284011|285066	Dura|Halhul|Hebron	202381	211691	0	3.29735000000003	1.65925000000001	0.296712	0.57699600000001
19200	2940213	Celle	71010	72429	0	2.10388999999999	1.30874	0.226205	0.658697
57517	107781	"Az Zulfi"	53144	53403	0	18.4427	62.2079000000001	0.304864	0.655305
21923	2953770	Babenhausen	16575	16161	0	3.14433	2.6032	0.215163	0.693935
28861	3180208	"Casale Monferrato"	31275	35071	0	4.18175000000001	4.42082000000002	0.25732	0.76591
86278	3430708	Mercedes	52949	51507	422274.391601562	6.06153	5.01978000000001	0.176584	0.444921
54156	250774|295277	Aqaba|Eilat	140636	86540	303706.817745212	2.92560868852459	2.02377168852462	0.33813739344262	0.638943
78289	3401283	"Currais Novos"	35560	36164	111396.779296874	3.34586000000003	9.2925900000001	0.171193	0.462521
