geonameid,name,asciiname,latitude,longitude,population
103369,Qal‘at Bīshah,Qal`at Bishah,20.00054,42.6052,81828
103630,Najrān,Najran,17.4924,44.12766,258573
104515,Mecca,Mecca,21.42664,39.82563,1323624
105072,Khamis Mushait,Khamis Mushait,18.3,42.73333,387553
105299,Jizan,Jizan,16.88917,42.55111,105198
105343,Jeddah,Jeddah,21.54238,39.19797,2867446
106281,Hayil,Hayil,27.52188,41.69073,267005
106744,Farasān,Farasan,16.70222,42.11833,10527
106909,Duba,Duba,27.35134,35.69014,22000
107304,Buraydah,Buraydah,26.32599,43.97497,391336
107312,Abqaiq,Abqaiq,25.9371,49.67761,29474
107744,Badr Ḩunayn,Badr Hunayn,23.78292,38.79047,27257
107781,Az Zulfi,Az Zulfi,26.29945,44.81542,53144
107797,Dhahran,Dhahran,26.28864,50.11396,99540
107959,Aţ Ţaraf,At Taraf,25.36276,49.72504,21386
107968,Ta’if,Ta'if,21.27028,40.41583,530848
108048,As Sulayyil,As Sulayyil,20.46067,45.57792,24097
108121,Sājir,Sajir,25.18251,44.59964,11717
108410,Riyadh,Riyadh,24.68773,46.72185,4205961
108435,Ar Rass,Ar Rass,25.86944,43.4973,81728
108512,‘Ar‘ar,'Ar'ar,30.97531,41.03808,148540
108617,An Nimāş,An Nimas,19.14547,42.1201,24153
108648,Al Qurayyāt,Al Qurayyat,31.33176,37.34282,102903
108773,Al Wajh,Al Wajh,26.24551,36.45248,26636
108841,Al ‘Ulá,Al 'Ula,26.60853,37.92316,32413
108890,Al Qurayn,Al Qurayn,25.48333,49.6,12013
108918,Al Qayşūmah,Al Qaysumah,28.31117,46.12729,20685
108927,Al Qaţīf,Al Qatif,26.5208,50.02452,98259
109059,Al Munayzilah,Al Munayzilah,25.38333,49.66667,16296
109101,Al Mubarraz,Al Mubarraz,25.41,49.58083,290802
109131,Al Mithnab,Al Mithnab,25.86012,44.22228,60870
109223,Medina,Medina,24.46861,39.61417,1300000
109323,Khobar,Khobar,26.27944,50.20833,165799
109380,Al Khafjī,Al Khafji,28.43905,48.49132,54857
109417,Al Jumūm,Al Jumum,21.61694,39.69806,22207
109435,Al Jubayl,Al Jubayl,27.01122,49.65826,237274
109571,Al Hufūf,Al Hufuf,25.36457,49.56532,293179
109878,Al Bukayrīyah,Al Bukayriyah,26.14422,43.65933,25153
109915,Al Baţţālīyah,Al Battaliyah,25.43333,49.63333,16606
109953,Al Bāḩah,Al Bahah,20.01288,41.46767,88419
110107,Al Awjām,Al Awjam,26.56324,49.94331,11460
110250,‘Afīf,`Afif,23.9065,42.91724,40648
110314,Ad Dilam,Ad Dilam,23.99104,47.16181,35371
110325,Ad Dawādimī,Ad Dawadimi,24.50772,44.39237,54474
110336,Dammam,Dammam,26.43442,50.10326,768602
110619,Abū ‘Arīsh,Abu `Arish,16.96887,42.83251,49171
110690,Abha,Abha,18.21639,42.50528,210886
110831,Āzādshahr,Azadshahr,37.08701,55.17397,47590
111421,Zarand,Zarand,30.81271,56.56399,58983
111453,Zanjān,Zanjan,36.6736,48.4787,357471
111822,Yazd,Yazd,31.89722,54.3675,477905
112214,Varāmīn,Varamin,35.3242,51.6457,179603
112646,Torbat-e Ḩeydarīyeh,Torbat-e Heydariyeh,35.27401,59.21949,125633
112656,Tonekābon,Tonekabon,36.81626,50.87376,37501
112931,Tehrān,Tehran,35.69439,51.42151,7153309
113343,Hashtpar,Hashtpar,37.8008,48.9037,45305
113491,Tākestān,Takestan,36.0696,49.6959,71499
