GID_GRUMP	GEONAMEIDS	ASCIINAMES	GEONAME_POP	GRUMP_POP
36559	750605	Biga	30852	27545
36560	748870	Cubuk	62602	46672
36562	584562|584614|584923|585103|585145|585184|585379|585557|585568|585630|585915|586340|586429|586925|586967|586968|587071|587078|587084|587261|824003|863761	"Amirdzhan|Badamdar|Bakixanov|Baku|Balakhani|Bilajari|Binagadi|Biny Selo|Buzovna|Haci Zeynalabdin|Hovsan|Khirdalan|Lokbatan|Mardakyany|Mastaga|Qaracuxur|Sabuncu|Saray|Sumqayit|Yeni Suraxani|Zabrat|Zyrya"	1934099	1513686
36563	1514382|1514891	Beshariq|Konibodom	72343	127041
36565	4907131	Rantoul	12941	15426
36568	1527719|1528283	Iradan|Kyzyl-Kyya	58200	46648
36570	2129961	Ichinohe	15825	13186
36578	744537	Karacabey	44256	40635
36587	1512342	Yangiyer	32636	32725
36602	741347	Nallihan	19106	15334
36623	616108	Vardenis	11382	16739
36635	2739590	"Figueira da Foz"	12050	27198
36637	739236	Sungurlu	37526	35399
36638	752278	Alaca	27019	24995
36641	739209	Susehri	25820	25100
36644	4899822	Lincoln	14504	19472
36648	743537	Kelkit	23870	19126
36656	750598	Bilecik	40285	34169
36657	750637	Beypazari	38769	34397
36658	744873	Kagizman	25157	21726
36659	616438	Martuni	11037	13722
36669	3170384	Policoro	11810	22839
36673	2738707|2739152|2740637|2742611|2743292	"Agueda|Aveiro|Coimbra|Gafanha da Nazare|Ilhavo"	204761	296997
36689	1514402|1514839|1514856|1514879|1538311	Bekobod|Chkalov|Khujand|Nov|Proletar	282935	366461
36711	746574	Gonen	40763	36336
36714	741045|741487|743404|746232|746958|750269	Bursa|Gemlik|Gursu|Kestel|Mudanya|Orhangazi	1619412	1372951
36715	2127910|2128787|2128867	Noshiro|Odate|Takanosu	136164	71209
36716	5197517	Lebanon	25477	500098
36717	1514896	Isfara	37738	42502
36721	749780	Canakkale	87791	62399
36726	585223	Qobustan	13398	32070
36730	736151	Grevena	10563	10167
36731	745169	Inegol	133959	106131
36733	1513886	Jizzax	152642	123942
36741	783148	Gjirokaster	23437	22694
36753	749392	Cekerek	10585	22791
36766	616631	Armavir	25963	42820
36780	1528735	Batken	10155	11023
36808	5570065	"Red Bluff"	14076	27345
36809	4887158|4914570	Champaign|Urbana	122305	146547
36810	616052|616062|616435|617026	Abovyan|Ejmiatsin|Masis|Yerevan	1197582	1062072
36814	587384	Agdzhabedy	34989	27837
36816	745527	Horasan	17067	18402
36817	3129857	Aranjuez	54055	18072
36821	3104703|3104748|3105214|3105247|3106054|3106202|3106868|3106870|3107112|3107765|3107784|3108118|3110040|3110360|3110458|3110627|3110911|3112737|3112989|3113415|3114256|3114397|3115659|3116025|3116156|3116175|3116963|3117041|3117667|3117735|3118594|311884	"Alcala de Henares|Alcobendas|Alcorcon|Algete|Alovera|Alpedrete|Arganda|Arganzuela|Arroyomolinos|Azuqueca de Henares|Barajas de Madrid|Boadilla del Monte|Carabanchel|Chamartin|Chamberi|Ciempozuelos|City Center|Ciudad Lineal|Collado-Villalba|Colmenar Viejo"	9312177	5291686
36822	749795	Can	26201	35529
36823	741385	Mustafakemalpasa	101412	46755
36831	4953804	Uxbridge	59322	354347
36837	601594	Turkmenbasy	68292	73554
36856	2038854	Yuktae-dong	76427	147422
36893	4919381	Crawfordsville	15915	21206
36896	2510249	Torrijos	13117	11182
36897	148619	Agdam	39451	29759
36898	1875107	Kusong	30902	177169
36900	5771826|5772418|5772654|5772959|5773001|5773304|5774001|5774301|5774662|5775782|5775863|5776008|5776715|5776727|5777107|5777224|5777332|5777793|5778244|5778352|5778755|5779036|5779068|5779206|5779333|5779334|5779548|5779816|5780026|5780557|5780802|578099	"American Fork|Bountiful|Canyon Rim|Centerville|Clearfield|Clinton|Cottonwood Heights|Draper|East Millcreek|Farmington|Herriman|Highland|Holladay|Kaysville|Kearns|Layton|Lehi|Lindon|Magna|Midvale|Millcreek|Murray|North Ogden|North Salt Lake|Ogden|Oquirrh|"	2044322	1728601
36901	4889426	Danville	33027	66891
36912	302824	Pasinler	24553	22743
36913	174979	Artashat	20562	33121
36915	1217215	Ishtixon	13024	23538
36918	3124967	Ciutadella	29160	13222
36937	3113331	Plasencia	41148	15621
36980	1222562	Sulyukta	15019	13467
36990	311073	Isparta	75721	59986
36992	2264575	Pombal	17355	10064
36993	300058	Susurluk	24816	22333
36995	2510689|2513324	"Navalmoral de la Mata|Talayuela"	27417	10167
36999	1217926|1512348|1513131|1538229	"Navoiy|Navoiy Shahri|Oqtosh|Yangirabot"	318859	390399
37000	1216982|1513011	Kattaqo'rg'on|Payshanba	84154	78526
37001	1217569	Chelak	16727	25414
37003	2037799	Datong	1052678	1008295
37005	4561215|4562088|4562407	Shiloh|Weigelstown|York	67811	202639
37011	1220253	Istaravshan	52851	52560
37021	295982	Zara	12797	30255
37029	4528923	Zanesville	25487	83427
37030	2510693	"Talavera de la Reina"	88856	65012
37039	363243	Sarande	15147	13540
37040	147288|585187	Saatli|Sabirabad	115075	58531
37056	315368	Erzurum	420691	373059
37062	2523964	Oristano	24641	48525
37082	2036241|2037886|2040893	Dandong|Langtou|Sinuiju	979131	1402175
37100	4262072	"New Castle"	18114	26387
37108	174991	Ararat	28832	21138
37116	2522857|2522968|2522970|2525207|3164646|3165233|3166021|3166224|3167811|3172379|3172774|3173711|3174254|3174789|3174953|3176366|3176406|3176407|3178141|3181005|3181528	"Brindisi|Campi Salentina|Casarano|Copertino|Galatina|Galatone|Gallipoli|Lecce|Leverano|Maglie|Matino|Monteroni di Lecce|Nardo|San Pietro Vernotico|Squinzano|Surbo|Taurisano|Taviano|Trepuzzi|Tricase|Veglie"	451189	787389
37117	2514301	Mao	29125	40797
37118	1877030|1877449	Hamhung|Hungnam	905138	550856
37122	320557	Bozuyuk	55365	47606
37124	1222662	Isfana	16952	16242
37128	300352	Sorgun	62862	53991
37146	4247703	Quincy	40633	57081
37147	4558475	Hanover	15289	61923
37149	2510409	Toledo	82291	62515
37159	296562	Yozgat	87881	73972
37162	2269514	"Castelo Branco"	33479	21637
37169	315061	Ezine	15677	12742
37186	4263681	Richmond	36812	53785
37187	4506487|4509177|4513409|4520905|4521209|4522411|4526993|4528291	"Bexley|Columbus|Grove City|Pataskala|Pickerington|Reynoldsburg|Upper Arlington|Whitehall"	956644	1261878
37188	4561859|5199087|5200499|5201734|5202215|5202734|5202765|5203211|5203785|5205377|5206379|5206606|5216895|5218069|5218802|5219271|5219501|7258082|7259013|8643098	"Carnot-Moon|Cranberry Township|Lower Burrell|McKeesport|Monroeville|Mount Lebanon|Munhall|Murrysville|New Kensington|North Versailles|Penn Hills|Pittsburgh|Plum|South Park Township|Uniontown|Upper Saint Clair|Washington|West Mifflin|Whitehall|Wilkinsburg"	671557	2059813
37198	1812256	Dongsheng	99809	174841
37221	4236895	Decatur	76122	105399
